idx,lineno,itemno,Order_date,day_night_type,product_date,quantity,cnt
55644626,1200,76211-A3010-100,44783,1,2022-08-10 7:57,5,18133963
55644630,1200,76211-A3010-100,44783,1,2022-08-10 7:58,2,18133965
55644633,1200,76211-A3010-100,44783,1,2022-08-10 7:59,3,18133968
55644635,1200,76211-A3010-100,44783,1,2022-08-10 7:59,3,18133971
55644642,1200,76211-A3010-100,44783,1,2022-08-10 8:00,3,18133974
55644645,1200,76211-A3010-100,44783,1,2022-08-10 8:00,1,18133975
55644650,1200,76211-A3010-100,44783,1,2022-08-10 8:01,3,18133978
55644653,1200,76211-A3010-100,44783,1,2022-08-10 8:02,3,18133981
55644657,1200,76211-A3010-100,44783,1,2022-08-10 8:02,3,18133984
55644659,1200,76211-A3010-100,44783,1,2022-08-10 8:02,3,18133987
55644662,1200,76211-A3010-100,44783,1,2022-08-10 8:03,1,18133988
55644669,1200,76211-A3010-100,44783,1,2022-08-10 8:04,3,18133991
55644672,1200,76211-A3010-100,44783,1,2022-08-10 8:04,3,18133994
55644676,1200,76211-A3010-100,44783,1,2022-08-10 8:05,3,18133997
55644679,1200,76211-A3010-100,44783,1,2022-08-10 8:05,3,18134000
55644682,1200,76211-A3010-100,44783,1,2022-08-10 8:05,3,18134003
55644685,1200,76211-A3010-100,44783,1,2022-08-10 8:06,3,18134006
55644688,1200,76211-A3010-100,44783,1,2022-08-10 8:06,3,18134009
55644691,1200,76211-A3010-100,44783,1,2022-08-10 8:06,3,18134012
55644695,1200,76211-A3010-100,44783,1,2022-08-10 8:07,3,18134015
55644697,1200,76211-A3010-100,44783,1,2022-08-10 8:07,3,18134018
55644700,1200,76211-A3010-100,44783,1,2022-08-10 8:08,3,18134021
55644703,1200,76211-A3010-100,44783,1,2022-08-10 8:08,3,18134024
55644707,1200,76211-A3010-100,44783,1,2022-08-10 8:08,3,18134027
55644709,1200,76211-A3010-100,44783,1,2022-08-10 8:09,3,18134030
55644713,1200,76211-A3010-100,44783,1,2022-08-10 8:09,3,18134033
55644715,1200,76211-A3010-100,44783,1,2022-08-10 8:09,2,18134035
55644717,1200,76211-A3010-100,44783,1,2022-08-10 8:09,1,18134036
55644719,1200,76211-A3010-100,44783,1,2022-08-10 8:10,1,18134037
55644728,1200,76211-A3010-100,44783,1,2022-08-10 8:11,1,18134038
55644730,1200,76211-A3010-100,44783,1,2022-08-10 8:11,2,18134040
55644732,1200,76211-A3010-100,44783,1,2022-08-10 8:11,1,18134041
55644735,1200,76211-A3010-100,44783,1,2022-08-10 8:12,2,18134043
55644738,1200,76211-A3010-100,44783,1,2022-08-10 8:12,3,18134046
55644741,1200,76211-A3010-100,44783,1,2022-08-10 8:12,3,18134049
55644744,1200,76211-A3010-100,44783,1,2022-08-10 8:13,3,18134052
