,Time_s[s],RMS[A]
1,2022-07-17 0:01,1.624307036
2,2022-07-17 0:06,1.618839264
3,2022-07-17 0:13,1.619825602
4,2022-07-17 0:24,1.610210657
5,2022-07-17 0:30,1.624192119
6,2022-07-17 0:36,1.618722558
7,2022-07-17 0:41,1.63796258
8,2022-07-17 0:45,1.620671868
9,2022-07-17 0:52,1.621306181
10,2022-07-17 0:55,1.617205501
11,2022-07-17 1:05,1.626479387
12,2022-07-17 1:10,1.613991261
13,2022-07-17 1:15,1.618022799
14,2022-07-17 1:17,1.625185966
15,2022-07-17 1:20,1.620704651
16,2022-07-17 1:25,1.62876749
17,2022-07-17 1:30,1.616229057
18,2022-07-17 1:32,1.616423965
19,2022-07-17 1:42,1.629904985
20,2022-07-17 1:44,1.626220345
21,2022-07-17 1:49,1.62525475
22,2022-07-17 1:55,1.621671319
23,2022-07-17 1:58,1.632184505
24,2022-07-17 2:03,1.628816605
25,2022-07-17 2:05,1.621868968
26,2022-07-17 2:07,1.622058988
27,2022-07-17 2:13,1.625095844
28,2022-07-17 2:16,1.622234464
29,2022-07-17 2:21,1.620072007
30,2022-07-17 2:26,1.625927925
31,2022-07-17 2:32,1.617059827
32,2022-07-17 2:38,1.622656822
33,2022-07-17 2:40,1.622565508
34,2022-07-17 2:42,1.624372125
35,2022-07-17 2:48,1.619713545
36,2022-07-17 2:51,1.632889271
37,2022-07-17 2:56,1.605769515
38,2022-07-17 3:02,1.631815553
39,2022-07-17 3:07,1.62593174
40,2022-07-17 3:12,1.623641372
41,2022-07-17 3:14,1.619108081
42,2022-07-17 3:20,1.628420353
43,2022-07-17 3:22,1.618703842
44,2022-07-17 3:29,1.634294748
45,2022-07-17 3:36,1.632850051
46,2022-07-17 3:41,1.625694036
47,2022-07-17 3:46,1.629532337
48,2022-07-17 3:52,1.62797606
49,2022-07-17 3:57,1.630450368
50,2022-07-17 4:01,1.626745462
51,2022-07-17 4:05,1.621887565
52,2022-07-17 4:10,1.627570391
53,2022-07-17 4:12,1.629837394
54,2022-07-17 4:18,1.622344732
55,2022-07-17 4:21,1.630845547
56,2022-07-17 4:25,1.622292876
57,2022-07-17 4:27,1.625878692
58,2022-07-17 4:29,1.62883997
59,2022-07-17 4:35,1.630877972
60,2022-07-17 4:40,1.630223274
61,2022-07-17 4:46,1.624810576
62,2022-07-17 4:52,1.627797484
63,2022-07-17 5:01,1.62718904
64,2022-07-17 5:03,1.63195467
65,2022-07-17 5:08,1.642124295
66,2022-07-17 5:14,1.627053976
67,2022-07-17 5:16,1.622231007
68,2022-07-17 5:21,1.632380366
69,2022-07-17 5:27,1.637827635
70,2022-07-17 5:34,1.626015425
71,2022-07-17 5:41,1.635505319
72,2022-07-17 5:47,1.630988598
73,2022-07-17 5:50,1.633874297
74,2022-07-17 5:54,1.634743929
75,2022-07-17 5:56,1.63289988
76,2022-07-17 6:02,1.629841805
77,2022-07-17 6:06,1.628575444
78,2022-07-17 6:12,1.634319067
79,2022-07-17 6:19,1.631367445
80,2022-07-17 6:24,1.639184356
81,2022-07-17 6:26,1.635121226
82,2022-07-17 6:28,1.628661871
83,2022-07-17 6:34,1.638539672
84,2022-07-17 6:36,1.634215117
85,2022-07-17 6:42,1.636295915
86,2022-07-17 6:47,1.634848595
